emplid_ID,GPA,CREDITS,DEGREE
24523009,3.087,54,BA
24392944,3.364,70,BA
24276873,3.104,87,BA
24536411,3.928,58,BA
24136789,3.128,92,BS
24427446,3.285,66,BS
14243726,3.354,164,BS
24537381,2.51,40,BE
24423697,3.225,56,BA
24547139,3.8,48,BA
24616159,3.376,65,BS
24507185,3.077,27,BS
24274812,3.141,99,BE
24552966,3.185,49,BS
24548862,3.588,52,BARCH
15098334,,,
24347040,3.01,30,BE
24048156,3.52,93,BS
24024695,3.54,31,BE
24541251,3.461,60,BA
24446693,2.222,50,BS
24369232,3.716,55,BA
24525159,,,
24236087,3.488,109,BA
24261005,2.3,30,BS
24519800,3.625,54,BA
24533361,1.822,30,BS
24526947,2.177,40,BA
24307826,3.651,99,BA
24493726,3.3,48,BA
24446668,3.13,74,BE
24534752,2.488,34,BE
24272672,3.122,59,BA
24166837,3.075,63,BA
24382503,2.075,35,BE
24384637,2.9,42,BE
24392792,3.528,39,BA
24430656,2.975,56,BE
24270973,2.667,58,BA
24602017,2.444,41,BE
24069284,2.932,129,BA
24546524,2.477,37,BA
24549699,3.537,51,BS
24275387,2.996,120,BA
24292545,3.423,157,BS
24551041,3.477,65,BA
24595349,2.12,33,BA
24603173,3.675,12,BA
23629886,3.433,9,BA
24150303,3.639,133,BA/MA
23719032,2.758,113,BA
24589933,2.975,45,BA
24326920,3.472,116,BA
24217733,3.217,111,BA
24293614,2.307,106,BA
24536705,3.282,57,BS
24017889,3.34,122,BS
24398579,3.337,46,BA
23099789,2.468,161,BS
24246720,2.42,92,BA
24056568,3.651,116,BSED
24282246,3.388,122,BA
24219594,3.874,91,BA
24564612,4,82,BA
24228990,3.97,121,BA
24448039,0.74,36,BS
24530349,3.6,43,BA
24535754,3.837,59,BA
24393009,3.922,63,BA
24369408,3.385,37,BS
24396446,3.7,91,BA
24365291,3.636,98,BA
